"Row","Description","Part","References","Value","Footprint","Quantity Per PCB","Status","Datasheet","jlc-part-type","lcsc#","mpn"
"1","Unpolarized capacitor","C","C1,C3,C5,C7,C8","100n","C_0805_2012Metric","5"," ","~","B","C28233",""
"2","Unpolarized capacitor","C","C2,C4,C6","10u","C_0805_2012Metric","3"," ","~","B","C15850",""
"3","Schottky diode","D_Schottky","D1","B5819WS","D_SOD-323","1"," ","https://datasheet.lcsc.com/lcsc/1811011616_Shandong-Jingdao-Microelectronics-B5819WS_C169530.pdf","E","C169530","B5819WS"
"4","Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_02x08_Odd_Even","J2","IDC EDGE 2x8","IDC-Female_2x08_P2.54mm_Edge","1"," ","~","-","C601927",""
"5","USB 2.0-only Type-C Receptacle connector","USB_C_Receptacle_USB2.0","J1","TYPE-C-31-M-12","USB_C_Receptacle_HRO_TYPE-C-31-M-12","1"," ","https://datasheet.lcsc.com/lcsc/2205251630_Korean-Hroparts-Elec-TYPE-C-31-M-12_C165948.pdf","E","C165948","TYPE-C-31-M-12"
"6","Light emitting diode","LED","LED4","ESP","LED_0805_2012Metric","1"," ","https://datasheet.lcsc.com/lcsc/1806151820_Hubei-KENTO-Elec-C2297_C2297.pdf","B","C2297",""
"7","Light emitting diode","LED","LED1","PWR","LED_0805_2012Metric","1"," ","https://datasheet.lcsc.com/lcsc/1806151820_Hubei-KENTO-Elec-C2297_C2297.pdf","B","C2297",""
"8","Light emitting diode","LED","LED3","RX","LED_0805_2012Metric","1"," ","https://datasheet.lcsc.com/lcsc/1806151820_Hubei-KENTO-Elec-C2297_C2297.pdf","B","C2297",""
"9","Light emitting diode","LED","LED2","TX","LED_0805_2012Metric","1"," ","https://datasheet.lcsc.com/lcsc/1806151820_Hubei-KENTO-Elec-C2297_C2297.pdf","B","C2297",""
"10","NPN transistor, base/emitter/collector","Q_NPN_BEC","Q1,Q2","DTC114YUA","SOT-323_SC-70","2"," ","https://datasheet.lcsc.com/lcsc/1809212227_Changjiang-Electronics-Tech-CJ-DTC114YUA_C13490.pdf","E","C13490","DTC114YUA"
"11","Resistor","R","R7,R9,R10,R14,R15","470","R_0805_2012Metric","5"," ","~","B","C17710",""
"12","Resistor","R","R8,R11,R12,R13","1k","R_0805_2012Metric","4"," ","~","B","C17513",""
"13","Resistor","R","R5,R6","4k7","R_0805_2012Metric","2"," ","~","B","C17673",""
"14","Resistor","R","R1,R2,R3,R4,R16","10k","R_0805_2012Metric","5"," ","~","B","C17414",""
"15","Switch, single pole double throw","SW_SPDT","SW2","ESP Power","SW_SPDT_PCM12","1"," ","https://datasheet.lcsc.com/lcsc/1808041445_ALPSALPINE-SSSS811101_C109335.pdf","E","C109335","SSSS811101"
"16","Single Pole Single Throw (SPST) switch","SW_SPST","SW1","RESET","1TS003B-2400-3500A-CT","1"," ","https://datasheet.lcsc.com/lcsc/1811070920_HYP--Hongyuan-Precision-1TS003B-2400-3500A-CT_C319398.pdf","E","C319398","1TS003B-2400-3500A-CT"
"17","USB serial converter, UART, SOIC-16","CH340C","U3","CH340C","SOIC-16_3.9x9.9mm_P1.27mm","1"," ","https://datasheet.lcsc.com/szlcsc/Jiangsu-Qin-Heng-CH340C_C84681.pdf","E","C84681","CH340C"
"18","150mA 16V Low-noise Low-dropout Regulator With Shutdown, 3.3V output voltage, SOT-23-5","LP2985-3.3","U2","ME6211C33M5G-N","SOT-23-5","1"," ","https://datasheet.lcsc.com/lcsc/1811131510_MICRONE-Nanjing-Micro-One-Elec-ME6211C33M5G-N_C82942.pdf","E","C82942","ME6211C33M5G-N"
"19","Very low capacitance ESD protection diode, 2 data-line, SOT-23-6","USBLC6-2SC6","U1","USBLC6-2SC6","SOT-23-6","1"," ","https://datasheet.lcsc.com/lcsc/2211151800_HXY-MOSFET-USBLC6-2SC6_C5261088.pdf","E","C5261088","USBLC6-2SC6"
